name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Arsenophonus,32,27,27
Moellerella,4,2,3
Gallaecimonas,526,591,696
Leminorella,104,105,138
Limnobaculum,20,24,24
Pragia,11,9,19
Halomonas,8965,9097,10517
Salinicola,1444,1591,1985
Cobetia,696,690,817
Vreelandella,639,692,808
Chromohalobacter,400,406,497
Halotalea,374,414,472
Kushneria,329,284,381
Billgrantia,275,280,314
Pistricoccus,233,205,229
Salicola,158,187,185
Zymobacter,84,88,126
Candidatus Carsonella,2,1,1
Marinobacterium,534,596,653
Marinomonas,209,196,216
Thalassolituus,174,111,174
Neptuniibacter,101,108,161
Nitrincola,79,70,78
Aliamphritea,68,97,82
Amphritea,64,58,57
Bacterioplanes,59,46,42
Bacterioplanoides,44,41,56
Neptunomonas,42,56,48
Venatoribacter,40,67,64
Marinospirillum,36,40,33
Bermanella,19,14,21
Alloalcanivorax,788,761,905
Alcanivorax,419,421,492
Isoalcanivorax,171,194,215
Marinicella,7,19,13
Hahella,457,437,467
Allohahella,99,100,107
Saccharospirillum,125,128,134
Salinispirillum,39,37,43
Reinekea,38,42,53
Gynuella,29,30,43
Endozoicomonas,205,215,215
Pokkaliibacter,115,106,126
Litorivicinus,76,81,103
Oleiphilus,43,56,40
Pleionea,19,16,14
Spartinivicinus,5,7,9
Thioalkalivibrio,2214,2284,2808
Spiribacter,1914,1778,2245
Acidihalobacter,952,824,1087
Halorhodospira,672,629,670
Ectothiorhodospira,564,520,654
Alkalilimnicola,458,426,456
Aquisalimonas,387,408,476
Ectothiorhodosinus,39,47,58
Thiocapsa,1164,1139,1278
Thiodictyon,848,849,919
Thiorhodovibrio,833,795,979
Thioflavicoccus,745,728,814
Allochromatium,713,774,832
Marichromatium,617,663,768
Thiocystis,428,394,480
Thermochromatium,306,246,304
Nitrosococcus,296,245,250
Caldichromatium,207,194,234
Rheinheimera,58,54,83
Candidatus Nitrosoglobus,12,7,13
Candidatus Nitrosacidococcus,10,6,20
Thiosocius,372,387,512
Candidatus Thiodiazotropha,274,222,263
Candidatus Endoriftia,201,173,227
Sedimenticola,148,139,143
Thiolapillus,79,73,78
Guyparkeria,873,1024,1174
Wenzhouxiangella,750,730,955
Halothiobacillus,335,321,394
Sulfuriflexus,111,112,112
Granulosicoccus,87,99,116
Methylococcus,2338,2273,2581
Methylomonas,1501,1480,1721
Methylocaldum,716,718,773
Candidatus Methylocalor,612,529,587
Methylomicrobium,599,571,715
Methylomagnum,395,403,408
Methylogaea,330,307,374
Methylobacter,262,312,240
Methylotuvimicrobium,240,217,256
Methylomarinum,208,173,157
Candidatus Methylospira,154,143,194
Methylovulum,35,58,73
Methylomarinovum,644,629,657
Aeromonas,5077,4981,5910
Zobellella,390,471,523
Oceanimonas,278,323,356
Pseudaeromonas,155,191,197
Tolumonas,46,53,42
Oceanisphaera,41,50,41
Dongshaea,36,42,41
Succinivibrio,16,4,10
Microbulbifer,2251,2189,2647
Simiduia,202,166,232
Cellvibrio,181,203,249
Teredinibacter,140,156,171
Gilvimarinus,108,82,129
Marinimicrobium,107,144,145
Maricurvus,40,43,47
Marinagarivorans,25,15,14
Agarilytica,20,15,8
Agaribacterium,20,18,21
Saccharophagus,17,18,32
Halioglobus,268,329,343
Kineobactrum,254,252,291
Congregibacter,225,220,252
Candidatus Paraluminiphilus,36,39,36
Aequoribacter,30,28,30
Spongiibacter,204,180,220
Zhongshania,39,24,51
Oceanicoccus,22,39,42
Porticoccus,15,9,9
Shewanella,1515,1376,1656
Parashewanella,7,12,21
Alteromonas,232,284,329
Salinimonas,55,80,100
Hydrocarboniclastica,124,126,130
Saliniradius,54,39,32
Agarivorans,53,58,66
Alkalimarinus,47,35,46
