name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Agricanvirus,2,1,3
Fremauxvirus,2,NA,NA
Ludhianavirus,2,NA,2
Denvervirus,2,NA,NA
Edenvirus,2,NA,2
Pahexavirus,2,1,1
Hiyaavirus,2,3,14
Jacevirus,2,4,4
Klausavirus,2,5,1
Ceduovirus,2,NA,1
Luckytenvirus,2,3,8
Pbunavirus,2,2,NA
Daredevilvirus,2,1,2
Clawzvirus,2,1,4
Lacusarxvirus,1,3,2
Borockvirus,1,NA,1
Dpdavirus,1,NA,NA
Hatrivirus,NA,1,NA
Lonfivirus,NA,NA,1
Beejeyvirus,NA,3,1
Seejivirus,NA,5,4
Rosenblumvirus,1,NA,NA
Sagamiharavirus,1,1,2
Mcgonagallvirus,1,3,1
Myosmarvirus,1,NA,1
Noxifervirus,1,NA,NA
Salinovirus,1,NA,NA
Paundecimvirus,NA,1,NA
Eiauvirus,1,NA,1
Aphroditevirus,1,3,2
Gordonvirus,1,NA,1
Hnatkovirus,1,2,5
Noahvirus,1,1,1
Sansavirus,1,NA,3
Kilunavirus,1,1,NA
Septimatrevirus,1,NA,1
Pavtokvirus,1,4,3
Immutovirus,1,1,1
Siftrevirus,1,1,1
Callevirus,1,2,1
Kimonavirus,1,NA,3
Samsavirus,1,2,2
Halohivirus,NA,3,1
Majavirus,1,1,NA
Tijeunavirus,1,NA,NA
Sourvirus,1,4,5
Scapunavirus,1,4,3
Squashvirus,1,4,10
Terapinvirus,1,3,2
Microwolfvirus,1,4,4
Baikalvirus,1,1,7
Samwavirus,1,1,9
Pharaohvirus,1,NA,1
Laroyevirus,1,NA,6
Bakolyvirus,1,NA,NA
Farahnazvirus,1,3,5
Jilinvirus,1,NA,NA
Benedictvirus,1,NA,2
Cequinquevirus,1,NA,NA
Efquatrovirus,1,NA,1
Seamegvirus,1,NA,NA
Delepquintavirus,1,2,1
Backyardiganvirus,1,10,5
Oneupvirus,1,4,1
Baileybluvirus,1,1,1
Krylovvirus,1,NA,NA
Sortsnevirus,1,NA,NA
Bingvirus,1,1,NA
Branisovskavirus,1,NA,NA
Bantamvirus,1,1,NA
Ryyoungvirus,1,NA,NA
Mooglevirus,1,NA,1
Suspvirus,NA,NA,1
Wbetavirus,1,2,NA
Denisevirus,1,NA,NA
Unaquatrovirus,1,NA,NA
Triplejayvirus,1,NA,3
Whackvirus,1,NA,NA
Chenonavirus,1,NA,6
Kisinvirus,1,NA,NA
Kukulkanvirus,NA,2,NA
Rowavirus,1,1,1
Iggyvirus,1,1,3
Chaovirus,1,5,8
Myohalovirus,NA,1,NA
Patiencevirus,1,NA,NA
Wroclawvirus,1,NA,NA
Clownvirus,1,1,1
Stanholtvirus,1,NA,NA
Shoyavirus,1,5,NA
Xiamenvirus,1,1,1
Dolusvirus,1,NA,1
Haetaevirus,1,NA,NA
Ferozepurvirus,1,NA,NA
Galunavirus,1,3,1
Raleighvirus,1,2,4
Grutrevirus,1,1,NA
Bippervirus,1,1,1
Tieomvirus,NA,1,NA
Rahariannevirus,NA,NA,1
Parlovirus,NA,NA,1
Lietduovirus,NA,1,NA
Latrobevirus,NA,NA,1
Lastavirus,NA,NA,1
Rivsvirus,NA,2,NA
Metforvirus,NA,NA,1
Whiteheadvirus,NA,NA,1
Vibakivirus,NA,3,NA
Shirahamavirus,NA,NA,1
Chaoshanvirus,NA,1,NA
Gimaduovirus,NA,1,NA
Fajavirus,NA,NA,1
Ericdabvirus,NA,1,1
Sasdunavirus,NA,NA,2
Eowynvirus,NA,1,NA
Emperorvirus,NA,1,2
Hestiavirus,NA,1,1
Bigmanorsvirus,NA,NA,1
Axeltriavirus,NA,2,2
Arvduovirus,NA,NA,1
Miltoncavirus,NA,NA,1
Richievirus,NA,NA,2
Purivirus,NA,NA,1
Powerballvirus,NA,NA,1
Persistencevirus,NA,NA,2
Pawinskivirus,NA,1,1
Nimduovirus,NA,1,2
Maaswegvirus,NA,NA,3
Kumottavirus,NA,1,NA
Ittyvirus,NA,3,1
Roslyckyvirus,NA,1,2
Silentrexvirus,NA,2,3
Gladiatorvirus,NA,2,NA
Coatlandelriovirus,NA,NA,1
Anthonyvirus,NA,2,1
Beograduvirus,NA,NA,3
Tsukubavirus,NA,1,NA
Sixamavirus,NA,1,NA
Skulduggeryvirus,NA,2,NA
Syrbvirus,NA,1,NA
Tepukevirus,NA,1,NA
Timshelvirus,NA,NA,1
Tsamsavirus,NA,NA,1
Nevillevirus,NA,NA,1
Octobienvirus,NA,2,3
Cuauhnahuacvirus,NA,1,NA
Moineauvirus,NA,NA,1
Yeceytrevirus,NA,1,NA
Santafevirus,NA,NA,1
Refugevirus,NA,1,3
Phleivirus,NA,2,1
Myradeevirus,NA,2,3
Bjornvirus,NA,1,NA
Bowservirus,NA,NA,1
Britbratvirus,NA,NA,3
Busanvirus,NA,3,2
Chakrabartyvirus,NA,2,NA
Cinunavirus,NA,NA,1
Emalynvirus,NA,NA,4
Eneladusvirus,NA,NA,1
Woesvirus,NA,NA,1
Cronusvirus,NA,1,1
Brujitavirus,NA,2,4
Plotvirus,NA,1,4
Machinavirus,NA,3,1
Svunavirus,NA,1,NA
Nanhaivirus,NA,1,NA
Kryptosalinivirus,NA,NA,1
Lokivirus,NA,1,NA
Magadivirus,NA,1,NA
Minunavirus,NA,NA,3
Myxoctovirus,NA,1,1
Kojivirus,NA,3,NA
Nickievirus,NA,1,NA
Nyceiraevirus,NA,NA,4
Orchidvirus,NA,1,NA
Otagovirus,NA,2,NA
Jedunavirus,NA,1,1
Ionavirus,NA,1,NA
Iapetusvirus,NA,1,NA
Holosalinivirus,NA,1,NA
Gustavvirus,NA,3,2
Ghobesvirus,NA,NA,2
Getseptimavirus,NA,NA,1
Galaxyvirus,NA,3,NA
Oshimavirus,NA,NA,2
Saphexavirus,NA,1,NA
Skunavirus,NA,NA,1
Firehammervirus,NA,2,NA
Fletchervirus,NA,1,NA
Detrevirus,NA,1,NA
Obolenskvirus,NA,NA,1
Mapvirus,NA,NA,3
Bruynoghevirus,NA,1,1
Lomovskayavirus,NA,1,NA
Homburgvirus,NA,NA,1
Phikzvirus,NA,1,3
Bernalvirus,NA,NA,3
Demosthenesvirus,NA,2,NA
Gaiavirus,NA,NA,2
Gilesvirus,NA,2,5
Gordtnkvirus,NA,NA,1
Steinhofvirus,NA,NA,1
Papyrusvirus,NA,1,1
Smoothievirus,NA,5,NA
Tankvirus,NA,NA,1
Tinduovirus,NA,1,1
Polybotosvirus,NA,1,NA
Emdodecavirus,NA,NA,1
Mieseafarmvirus,NA,5,1
Nankokuvirus,NA,1,1
Kleczkowskavirus,NA,1,NA
Pakpunavirus,NA,1,1
Anjalivirus,NA,1,NA
Ayohtrevirus,NA,1,NA
Bcepfunavirus,NA,NA,1
Kenoshavirus,NA,NA,1
Secretariatvirus,NA,NA,1
Schubertvirus,NA,NA,1
Tigunavirus,NA,1,2
Trinevirus,NA,3,NA
Vashvirus,NA,NA,1
Brucesealvirus,NA,NA,2
Claudivirus,NA,1,NA
Carmenvirus,NA,NA,1
Nipunavirus,NA,2,1
Indlulamithivirus,NA,NA,1
Konstantinevirus,NA,NA,1
Kuleanavirus,NA,1,2
Donellivirus,NA,NA,2
Cimandefvirus,NA,NA,3
Aokuangvirus,NA,1,NA
Brigitvirus,NA,NA,1
Eponavirus,NA,NA,3
Goslarvirus,NA,NA,2
Petsuvirus,NA,6,1
Rimavirus,NA,3,2
Ripduovirus,NA,1,2
Risingsunvirus,NA,NA,1
Vhulanivirus,NA,1,NA
Luckybarnesvirus,NA,NA,1
Gillianvirus,NA,1,2
Godonkavirus,NA,NA,1
Goodmanvirus,NA,NA,1
Juiceboxvirus,NA,2,1
Lentavirus,NA,1,NA
Maxrubnervirus,NA,3,1
Metamorphoovirus,NA,2,3
Murrayvirus,NA,1,1
Neferthenavirus,NA,2,NA
Coralvirus,NA,6,NA
Andrewvirus,NA,NA,3
Kelquatrovirus,NA,NA,1
Wellingtonvirus,NA,1,NA
Rosemountvirus,NA,1,NA
Varicellovirus,58,61,53
Simplexvirus,31,36,51
Iltovirus,5,2,6
Mardivirus,3,5,5
Scutavirus,NA,NA,3
Muromegalovirus,30,36,26
Cytomegalovirus,13,22,21
Proboscivirus,13,9,7
Quwivirus,11,11,7
Lymphocryptovirus,6,2,3
Percavirus,3,1,2
Macavirus,2,NA,4
Rhadinovirus,1,NA,4
Bossavirus,1,2,NA
Manticavirus,NA,NA,1
Cyvirus,6,9,5
Batravirus,1,1,NA
Ictavirus,1,1,2
Aurivirus,1,1,1
Pandoravirus,177,242,219
Pithovirus,NA,1,NA
Prasinovirus,15,10,7
Chlorovirus,7,5,6
Prymnesiovirus,2,NA,NA
Coccolithovirus,2,1,NA
Phaeovirus,1,1,4
Raphidovirus,1,NA,NA
Moumouvirus,3,1,7
Mimivirus,1,2,1
Cotonvirus,1,2,NA
Megavirus,1,3,3
Tupanvirus,NA,1,1
Theiavirus,4,NA,NA
Fadolivirus,NA,NA,1
Rheavirus,NA,2,2
Biavirus,3,1,1
Kratosvirus,NA,NA,1
Oceanusvirus,1,2,1
Heliosvirus,NA,NA,2
Ranavirus,2,1,3
Lymphocystivirus,NA,2,NA
Chloriridovirus,2,1,1
Marseillevirus,3,1,5
Ascovirus,NA,4,2
Parapoxvirus,22,18,26
Sciuripoxvirus,8,10,7
Crocodylidpoxvirus,8,12,10
Molluscipoxvirus,5,7,2
Orthopoxvirus,NA,NA,1
Pteropopoxvirus,NA,NA,2
Macropopoxvirus,NA,1,1
Centapoxvirus,NA,NA,1
Cervidpoxvirus,NA,NA,1
Leporipoxvirus,NA,3,NA
Avipoxvirus,NA,NA,2
Asfivirus,1,2,1
Mastadenovirus,10,12,5
Aviadenovirus,2,6,11
Testadenovirus,NA,NA,1
Deltatectivirus,1,NA,NA
Yaravirus,1,NA,NA
Oxychlovirus,2,NA,NA
Amubhivirus,1,NA,NA
Omohevirus,1,NA,NA
Mintuvirus,NA,NA,1
Vohsuavirus,NA,1,NA
Whilavirus,NA,NA,1
Kudohovirus,2,NA,NA
Stupavirus,1,NA,NA
Beshanovirus,NA,1,NA
Gredihovirus,4,NA,NA
Thyrsuvirus,2,NA,NA
Penoulivirus,3,NA,NA
Betarhizoulivirus,NA,1,NA
Lagovirus,1,NA,NA
Norovirus,1,NA,NA
Sapovirus,NA,NA,1
Nebovirus,NA,NA,1
Crohivirus,2,6,9
Enterovirus,NA,1,NA
Rosavirus,NA,NA,1
Comovirus,1,1,NA
Nepovirus,NA,NA,1
Stralarivirus,1,NA,NA
Aparavirus,NA,2,NA
Betacoronavirus,2,1,1
Alphacoronavirus,NA,NA,1
Turrinivirus,1,NA,NA
Okavirus,NA,NA,1
Infratovirus,NA,1,NA
Potyvirus,2,1,1
Mamastrovirus,2,NA,1
Betafusarivirus,1,2,NA
Thetahypovirus,NA,NA,1
Amalgavirus,NA,NA,1
Pestivirus,2,NA,NA
Orthoflavivirus,2,3,1
Pegivirus,NA,NA,1
Rubivirus,2,2,4
Rocahepevirus,NA,1,NA
Alphaendornavirus,1,NA,NA
Alphavirus,NA,NA,1
Alfamovirus,NA,1,NA
Closterovirus,NA,NA,2
Pomovirus,NA,1,NA
Gammaflexivirus,NA,NA,1
Potexvirus,NA,NA,1
Carlavirus,NA,2,1
Sinaivirus,1,NA,NA
Tombusvirus,NA,1,NA
Hapavirus,2,1,NA
Ephemerovirus,1,1,1
Merhavirus,NA,NA,1
Ledantevirus,NA,NA,1
Sigmavirus,NA,NA,1
Cytorhabdovirus,NA,1,1
Dichorhavirus,NA,1,NA
Betanucleorhabdovirus,NA,NA,1
Novirhabdovirus,NA,1,NA
Narmovirus,1,NA,NA
Respirovirus,NA,NA,1
Penicillimonavirus,1,NA,2
Orthoebolavirus,NA,NA,1
Orthobornavirus,NA,NA,1
Usmuvirus,NA,1,NA
Orthobunyavirus,2,NA,1
Mammarenavirus,1,NA,1
Emaravirus,NA,1,1
Orthohantavirus,NA,1,NA
Orthonairovirus,NA,NA,1
Orthophasmavirus,NA,NA,1
Orthotospovirus,NA,NA,1
Victorivirus,2,NA,NA
Alternavirus,NA,NA,1
Cypovirus,1,4,NA
Aquareovirus,NA,1,1
Phytoreovirus,NA,NA,1
Cystovirus,1,NA,NA
Alpharetrovirus,1,NA,NA
Lentivirus,NA,NA,1
Caulimovirus,NA,NA,1
Badnavirus,NA,1,NA
Orthohepadnavirus,NA,1,3
Polymycovirus,NA,NA,1
Alphabaculovirus,40,37,54
Betabaculovirus,4,14,6
Gammanudivirus,2,3,1
Betanudivirus,1,NA,NA
Alphanudivirus,NA,2,2
Glossinavirus,2,NA,NA
Bracoviriform,1,2,8
Ichnoviriform,NA,2,NA
Dyonupapillomavirus,3,NA,NA
Dyoomikronpapillomavirus,NA,NA,1
Dyotaupapillomavirus,NA,NA,1
Pipapillomavirus,NA,NA,1
Gammapapillomavirus,NA,1,NA
Iotapapillomavirus,NA,NA,1
Alphapapillomavirus,NA,1,NA
Xipapillomavirus,NA,NA,2
Deltapapillomavirus,NA,2,NA
Psipapillomavirus,NA,NA,1
Miniambidensovirus,2,NA,NA
Iteradensovirus,NA,NA,1
Dependoparvovirus,NA,NA,1
Protoparvovirus,NA,NA,1
Chaphamaparvovirus,NA,2,NA
Ringilvirus,1,NA,NA
Grondvirus,NA,2,NA
Porprismacovirus,NA,1,NA
Begomovirus,NA,1,NA
Gemykrogvirus,NA,NA,1
Porrectionivirus,4,3,NA
Alphapleolipovirus,2,1,NA
Alphasphaerolipovirus,5,3,8
Hukuchivirus,1,1,1
Yingchengvirus,NA,NA,1
Usarudivirus,1,NA,NA
Betalipothrixvirus,NA,1,NA
